"","yr","mnth","weekday","workingday","weathersit","temp","hum","windspeed","cnt","decicion_predicted","linear_predicted","rf_predict"
"4","2011","1","tue","1","clear or partly cloudy",0.2,0.590435,0.160296,1562,1627.47222222222,1457.93819205025,1682.79055567983
"14","2011","1","fri","1","clear or partly cloudy",0.16087,0.537826,0.126548,1421,1627.47222222222,1498.90287025374,1769.96803737206
"25","2011","1","tue","1","mist or few clouds",0.223478,0.616957,0.129796,1985,1627.47222222222,1148.07139475289,1644.28288665767
"27","2011","1","thu","1","clear or partly cloudy",0.195,0.6875,0.113837,431,1627.47222222222,1515.91211333512,1844.30502637372
"28","2011","1","fri","1","mist or few clouds",0.203478,0.793043,0.1233,1167,1627.47222222222,861.071183765364,1738.38970735616
"31","2011","1","mon","1","mist or few clouds",0.180833,0.60375,0.187192,1501,1627.47222222222,684.743702438936,1569.99353008651
"41","2011","2","thu","1","clear or partly cloudy",0.144348,0.437391,0.221935,1538,1627.47222222222,1485.39501108803,1741.56021321235
"57","2011","2","sat","0","clear or partly cloudy",0.2825,0.537917,0.186571,1969,1627.47222222222,2077.13480372178,2043.3850588058
"64","2011","3","sat","0","mist or few clouds",0.384167,0.789167,0.251871,2077,1627.47222222222,2137.81637627453,2439.41647906404
"67","2011","3","tue","1","clear or partly cloudy",0.2925,0.420833,0.12065,2133,1627.47222222222,3060.33003556171,2657.85649831794
"70","2011","3","fri","1","mist or few clouds",0.316522,0.649565,0.23297,1977,1627.47222222222,2020.50208578746,2155.99245707402
"74","2011","3","tue","1","mist or few clouds",0.317391,0.655652,0.184309,2056,1627.47222222222,2159.18212189325,2136.90971786067
"96","2011","4","wed","1","clear or partly cloudy",0.390833,0.470833,0.263063,2808,2979.13114754098,3501.39362981304,3654.69060861227
"99","2011","4","sat","0","mist or few clouds",0.3425,0.8775,0.133083,2455,2979.13114754098,2781.54792909281,2682.26760352593
"101","2011","4","mon","1","mist or few clouds",0.595652,0.716956,0.324474,3348,4436.05660377359,3167.67055969485,3765.45583544302
"104","2011","4","thu","1","clear or partly cloudy",0.4675,0.540417,0.1107,3267,4436.05660377359,4242.30597439768,4199.10354045797
"105","2011","4","fri","0","clear or partly cloudy",0.446667,0.67125,0.226375,3126,4436.05660377359,2857.29209010793,3893.22696280766
"106","2011","4","sat","0","light snow or rain",0.430833,0.888333,0.340808,795,2979.13114754098,934.256351105338,2189.92526264893
"109","2011","4","tue","1","mist or few clouds",0.505833,0.665833,0.157971,3204,4436.05660377359,3540.79753178644,3806.95144864949
"114","2011","4","sun","0","mist or few clouds",0.581667,0.810833,0.192175,4191,4436.05660377359,3254.99123671867,3823.56574432587
"117","2011","4","wed","1","mist or few clouds",0.62,0.835417,0.3122,3872,4436.05660377359,3297.14362836614,3307.14790181287
"118","2011","4","thu","1","mist or few clouds",0.6175,0.700833,0.320908,4058,4436.05660377359,3470.3612268496,3786.2013928508
"120","2011","4","sat","0","clear or partly cloudy",0.4725,0.503333,0.235075,5312,4436.05660377359,3959.75615498816,4301.01314023716
"124","2011","5","wed","1","mist or few clouds",0.414167,0.737083,0.328996,2633,2979.13114754098,2924.03719662949,3252.55726992857
"126","2011","5","fri","1","clear or partly cloudy",0.479167,0.59,0.228246,4608,4436.05660377359,4172.50753098491,4555.71806726766
"136","2011","5","mon","1","clear or partly cloudy",0.5775,0.787917,0.126871,3958,4436.05660377359,4494.24780469177,4466.884979431
"146","2011","5","thu","1","clear or partly cloudy",0.708333,0.6775,0.199642,4677,4436.05660377359,5118.72855073718,4729.67744580773
"158","2011","6","tue","1","clear or partly cloudy",0.7075,0.597917,0.187808,4833,4436.05660377359,4951.09231365626,4787.56716317167
"164","2011","6","mon","1","clear or partly cloudy",0.635,0.494583,0.30535,5020,4436.05660377359,4293.78711482,4840.30326422467
"171","2011","6","mon","1","mist or few clouds",0.635,0.74625,0.155475,4010,4436.05660377359,3969.39198022674,4499.48017517471
"176","2011","6","sat","0","clear or partly cloudy",0.695,0.483333,0.209571,5202,4436.05660377359,5101.43490426522,5130.14189665673
"178","2011","6","mon","1","mist or few clouds",0.6825,0.658333,0.107588,4708,4436.05660377359,4440.78329335847,4654.98038512893
"183","2011","7","sat","0","clear or partly cloudy",0.738333,0.444583,0.115062,5119,4436.05660377359,5071.55782002711,4990.49524389354
"189","2011","7","fri","1","mist or few clouds",0.709167,0.757917,0.225129,4040,4436.05660377359,3592.33615295328,4344.32610734072
"195","2011","7","thu","1","clear or partly cloudy",0.680833,0.47625,0.240667,5084,4436.05660377359,4327.99589907645,4842.78422035367
"196","2011","7","fri","1","clear or partly cloudy",0.663333,0.59125,0.182833,5538,4436.05660377359,4244.20602607021,4730.35664446517
"200","2011","7","tue","1","clear or partly cloudy",0.776667,0.650417,0.1306,4541,4436.05660377359,4777.42583762159,4468.85062496172
"219","2011","8","sun","0","clear or partly cloudy",0.7425,0.752917,0.201487,3785,4436.05660377359,4376.31633359322,4512.02425280575
"223","2011","8","thu","1","clear or partly cloudy",0.7175,0.42375,0.164796,4792,4436.05660377359,5190.92602493792,5035.08163427942
"224","2011","8","fri","1","clear or partly cloudy",0.708333,0.415,0.125621,4905,4436.05660377359,5250.72494634688,5078.98923765559
"225","2011","8","sat","0","mist or few clouds",0.685833,0.729583,0.211454,4150,4436.05660377359,4072.24536968428,4377.38472046734
"230","2011","8","thu","1","clear or partly cloudy",0.711667,0.654583,0.233208,3805,4436.05660377359,4623.6289946588,4700.83135933807
"231","2011","8","fri","1","mist or few clouds",0.685,0.722917,0.139308,4153,4436.05660377359,4216.98874628518,4503.73738948049
"236","2011","8","wed","1","clear or partly cloudy",0.673333,0.605,0.253108,5130,4436.05660377359,4445.41505834871,4697.04993769515
"258","2011","9","thu","1","mist or few clouds",0.5775,0.709167,0.271146,3659,4436.05660377359,4195.66822350613,4323.37133140535
"268","2011","9","sun","0","mist or few clouds",0.634167,0.845,0.0503792,5010,4436.05660377359,4621.92387688689,4426.07350854484
"282","2011","10","sun","0","clear or partly cloudy",0.540833,0.7275,0.06345,5511,4436.05660377359,4758.71537350777,4800.58054830737
"285","2011","10","wed","1","light snow or rain",0.543333,0.90625,0.24815,2416,2306.85714285714,2252.87109437263,2624.62711424018
"299","2011","10","wed","1","mist or few clouds",0.484167,0.720417,0.148642,3894,4436.05660377359,4105.08790944797,4229.57971893815
"301","2011","10","fri","1","mist or few clouds",0.330833,0.585833,0.229479,3747,2979.13114754098,3385.98736665168,3147.71687695733
"308","2011","11","fri","1","mist or few clouds",0.403333,0.6225,0.271779,4046,2979.13114754098,2783.51925819997,3219.99325275716
"319","2011","11","tue","1","mist or few clouds",0.53,0.68875,0.199633,4195,4436.05660377359,3426.40187006681,3855.09115947258
"330","2011","11","sat","0","clear or partly cloudy",0.375833,0.681667,0.0684208,3068,2979.13114754098,3824.29547814325,3662.46635001231
"333","2011","11","tue","1","mist or few clouds",0.458333,0.830833,0.258092,2914,4436.05660377359,2747.41173034665,3123.36845927521
"335","2011","12","thu","1","clear or partly cloudy",0.3125,0.524583,0.220158,3727,2979.13114754098,2899.46490338135,2591.05644249759
"344","2011","12","sat","0","clear or partly cloudy",0.275,0.5075,0.233221,3190,2979.13114754098,2782.30405208389,2234.65566914639
"347","2011","12","tue","1","clear or partly cloudy",0.2825,0.59,0.14055,3523,2979.13114754098,2888.80704936803,2810.28451235366
"349","2011","12","thu","1","mist or few clouds",0.4225,0.634167,0.268042,3709,2979.13114754098,2568.41802057586,2978.578048535
"353","2011","12","mon","1","clear or partly cloudy",0.276667,0.6375,0.172896,3403,2979.13114754098,2573.12394189052,2627.06040036326
"365","2011","12","sat","0","clear or partly cloudy",0.41,0.615833,0.220154,2485,2979.13114754098,3223.0517196319,3089.81712337399
"370","2012","1","thu","1","clear or partly cloudy",0.265833,0.524167,0.129987,3272,2746.6,4029.36765102407,3836.18038148336
"373","2012","1","sun","0","clear or partly cloudy",0.3375,0.465,0.191542,3425,4890,3859.16636764527,3518.25406493087
"375","2012","1","tue","1","clear or partly cloudy",0.308696,0.646522,0.187552,3598,4890,3785.23804178449,4177.14740106017
"381","2012","1","mon","0","clear or partly cloudy",0.19,0.5225,0.231358,2298,2746.6,2514.9973104745,2896.76462849443
"382","2012","1","tue","1","mist or few clouds",0.373043,0.716087,0.34913,2935,3664.92307692308,2951.08572518247,3435.89325099155
"385","2012","1","fri","1","mist or few clouds",0.2175,0.45,0.20275,3163,2746.6,3184.67541328212,2977.13663274953
"386","2012","1","sat","0","mist or few clouds",0.173333,0.83125,0.222642,1301,2746.6,2511.20763920011,2488.10660452359
"404","2012","2","wed","1","mist or few clouds",0.256667,0.722917,0.133721,2802,2746.6,3394.84406437876,2954.85720671836
"417","2012","2","tue","1","clear or partly cloudy",0.287826,0.594348,0.205717,3777,4890,3897.17995247187,4044.54515895083
"418","2012","2","wed","1","clear or partly cloudy",0.395833,0.567917,0.234471,4773,4890,4311.38266975268,4363.43269576343
"424","2012","2","tue","1","clear or partly cloudy",0.359167,0.395833,0.193417,4363,4890,4501.31285593902,4310.30844824869
"426","2012","3","thu","1","clear or partly cloudy",0.485833,0.615417,0.226987,4990,6868.74305555556,5339.79193772748,5773.63887133701
"440","2012","3","thu","1","clear or partly cloudy",0.5575,0.579583,0.149883,6192,6868.74305555556,5933.1368683802,6238.71506815039
"448","2012","3","fri","1","mist or few clouds",0.601667,0.694167,0.1163,8362,6868.74305555556,5551.87493120297,6117.76970243669
"459","2012","4","tue","1","clear or partly cloudy",0.466667,0.396667,0.100133,6772,6868.74305555556,6465.81525215439,6240.83103483785
"461","2012","4","thu","1","clear or partly cloudy",0.435,0.374167,0.219529,6457,4890,6036.40330978129,5914.93976347239
"463","2012","4","sat","0","clear or partly cloudy",0.4375,0.254167,0.274871,6857,4890,6084.94261952574,5768.57965634943
"470","2012","4","sat","0","clear or partly cloudy",0.495,0.502917,0.190917,7460,6868.74305555556,6249.96783845758,6387.96203294991
"482","2012","4","thu","1","mist or few clouds",0.498333,0.756667,0.176625,5026,6868.74305555556,5436.8944748683,5627.94110256007
"484","2012","4","sat","0","mist or few clouds",0.376667,0.489583,0.129975,4220,4890,5519.913802094,5133.89156321567
"487","2012","5","tue","1","mist or few clouds",0.613333,0.659583,0.156096,5740,6868.74305555556,6426.05460933281,6182.29868054363
"490","2012","5","fri","1","clear or partly cloudy",0.6275,0.735417,0.162938,6296,6868.74305555556,6840.98782300315,6788.5733885908
"491","2012","5","sat","0","mist or few clouds",0.621667,0.756667,0.152992,6883,6868.74305555556,6449.97759907198,6148.33293085059
"494","2012","5","tue","1","mist or few clouds",0.581667,0.685833,0.296029,5728,6868.74305555556,5801.94911402321,5831.4804575547
"495","2012","5","wed","1","mist or few clouds",0.575,0.744167,0.216412,4717,6868.74305555556,5989.6199205319,5603.23593726852
"497","2012","5","fri","1","clear or partly cloudy",0.533333,0.360417,0.236937,7030,6868.74305555556,6734.41419134581,6669.32014299163
"508","2012","5","tue","1","mist or few clouds",0.615,0.765833,0.118167,6073,6868.74305555556,6410.47634044754,5821.54111712106
"510","2012","5","thu","1","clear or partly cloudy",0.655,0.716667,0.172896,6770,6868.74305555556,6989.47592170641,6783.1669413637
"511","2012","5","fri","1","clear or partly cloudy",0.68,0.747083,0.14055,6734,6868.74305555556,7111.30985398889,6739.57962012536
"513","2012","5","sun","0","clear or partly cloudy",0.69,0.697083,0.215171,6591,6868.74305555556,6679.129582389,6300.9804393756
"515","2012","5","tue","1","clear or partly cloudy",0.7225,0.684583,0.2954,5743,6868.74305555556,6845.5538292657,6488.33405079583
"516","2012","5","wed","1","mist or few clouds",0.656667,0.67,0.134329,6855,6868.74305555556,6692.85476950756,6314.42154381646
"518","2012","6","fri","1","mist or few clouds",0.654167,0.755417,0.237563,4127,6868.74305555556,5954.75290090202,6022.19445166896
"523","2012","6","wed","1","clear or partly cloudy",0.554167,0.61125,0.077125,7055,6868.74305555556,6761.45087607738,7086.22738410265
"526","2012","6","sat","0","clear or partly cloudy",0.710833,0.437083,0.144287,7498,6868.74305555556,7497.30803782783,7058.40907776586
"527","2012","6","sun","0","clear or partly cloudy",0.726667,0.538333,0.133721,6598,6868.74305555556,7061.45883257398,6810.73156375015
"534","2012","6","sun","0","clear or partly cloudy",0.5925,0.59875,0.144904,6978,6868.74305555556,6397.03377977824,6844.2762941887
"543","2012","6","tue","1","clear or partly cloudy",0.630833,0.373333,0.347642,7442,6868.74305555556,6479.22531294404,6457.59225197267
"547","2012","6","sat","0","clear or partly cloudy",0.765,0.60125,0.161071,5687,6868.74305555556,7435.01333933441,6827.6723842456
"557","2012","7","tue","1","mist or few clouds",0.720833,0.6675,0.151737,6290,6868.74305555556,6042.79211721256,6664.12634304017
"563","2012","7","mon","1","clear or partly cloudy",0.763333,0.645,0.164187,6830,6868.74305555556,6553.79152339383,6657.82929704321
"565","2012","7","wed","1","clear or partly cloudy",0.793333,0.577083,0.137442,5713,6868.74305555556,7011.30239171236,6741.92948334549
"568","2012","7","sat","0","light snow or rain",0.595833,0.865417,0.2133,4459,5456,3665.5449978579,4323.75819867517
"578","2012","7","tue","1","clear or partly cloudy",0.713333,0.704167,0.165425,7216,6868.74305555556,6385.3221804536,6793.55480588382
"581","2012","8","fri","1","mist or few clouds",0.765833,0.6425,0.215792,7175,6868.74305555556,6458.33414343883,6438.31092152577
"583","2012","8","sun","0","clear or partly cloudy",0.769167,0.6525,0.290421,5464,6868.74305555556,6384.7261506792,6295.30888818224
"586","2012","8","wed","1","mist or few clouds",0.75,0.672917,0.1107,7534,6868.74305555556,6714.86407219731,6562.74180473293
"592","2012","8","tue","1","clear or partly cloudy",0.726667,0.686667,0.169158,6784,6868.74305555556,6843.90464972058,6909.59614384843
"593","2012","8","wed","1","clear or partly cloudy",0.706667,0.619583,0.169771,7347,6868.74305555556,6887.45944882855,7165.10148198038
"596","2012","8","sat","0","clear or partly cloudy",0.678333,0.603333,0.177867,7865,6868.74305555556,6848.55952285508,6914.28844808269
"598","2012","8","mon","1","mist or few clouds",0.635833,0.734167,0.129979,6530,6868.74305555556,5949.68095033575,6374.44002593341
"606","2012","8","tue","1","clear or partly cloudy",0.728333,0.62,0.190925,7040,6868.74305555556,6871.34934634056,6869.6872666863
"607","2012","8","wed","1","clear or partly cloudy",0.685,0.552083,0.112562,7697,6868.74305555556,7080.67960766671,7178.16314878457
"611","2012","9","sun","0","mist or few clouds",0.696667,0.815,0.0640708,5810,5456,6925.36099858612,5810.7093986895
"622","2012","9","thu","1","clear or partly cloudy",0.6125,0.637083,0.0827208,7804,6868.74305555556,7577.81572780409,7486.45492676061
"627","2012","9","tue","1","mist or few clouds",0.623333,0.8725,0.357587,4073,5456,5865.559111081,4334.36719139678
"631","2012","9","sat","0","clear or partly cloudy",0.65,0.646667,0.283583,8395,6868.74305555556,7111.49214659867,7176.59263343807
"642","2012","10","wed","1","mist or few clouds",0.6575,0.79375,0.0665458,7572,5456,7029.71845373104,5897.57387552962
"644","2012","10","fri","1","clear or partly cloudy",0.615,0.6275,0.10635,8156,6868.74305555556,7407.22116293236,7315.10007573617
"645","2012","10","sat","0","clear or partly cloudy",0.554167,0.664167,0.268025,7965,6868.74305555556,6676.97143827148,6956.8251377465
"646","2012","10","sun","0","mist or few clouds",0.415833,0.708333,0.141162,3510,3664.92307692308,5607.90736670809,5303.98477590998
"655","2012","10","tue","1","clear or partly cloudy",0.468333,0.558333,0.182221,7534,6868.74305555556,6642.66047967974,6736.10028189996
"664","2012","10","thu","1","mist or few clouds",0.55,0.800417,0.124375,7359,5456,6420.54571452317,6308.68963335765
"666","2012","10","sat","0","mist or few clouds",0.53,0.72,0.235692,7852,6868.74305555556,6139.35237232702,6373.82565470852
"671","2012","11","thu","1","mist or few clouds",0.365833,0.581667,0.157346,5986,4890,5160.64388940329,4492.80499256661
"672","2012","11","fri","1","clear or partly cloudy",0.355,0.522083,0.266175,5847,4890,5266.63733164976,4924.72749351207
"674","2012","11","sun","0","clear or partly cloudy",0.325833,0.532917,0.179108,5107,4890,5122.30449497465,4409.28538632792
"675","2012","11","mon","1","clear or partly cloudy",0.319167,0.494167,0.236325,5259,4890,5121.50831392879,4609.14205120026
"677","2012","11","wed","1","mist or few clouds",0.295833,0.5475,0.304108,5035,4890,4416.20913662239,4401.91487223307
"679","2012","11","fri","1","clear or partly cloudy",0.361667,0.540833,0.214558,5992,4890,5437.21559905235,4870.7629765506
"680","2012","11","sat","0","clear or partly cloudy",0.389167,0.645417,0.0578458,6536,4890,6016.60855447908,4845.87024720328
"681","2012","11","sun","0","clear or partly cloudy",0.420833,0.659167,0.1275,6852,4890,5502.5650766419,4766.85706711187
"685","2012","11","thu","1","mist or few clouds",0.321667,0.620417,0.152987,5445,4890,4942.249297112,4342.82270737089
"689","2012","11","mon","1","mist or few clouds",0.380833,0.623333,0.235067,5499,4890,4728.67037144823,4578.81030496139
"698","2012","11","wed","1","clear or partly cloudy",0.296667,0.50625,0.210821,5260,4890,5251.42183350537,4938.12966470535
"703","2012","12","mon","1","clear or partly cloudy",0.4525,0.7675,0.0827208,6234,6868.74305555556,5456.09377566171,5425.87242324608
"705","2012","12","wed","1","clear or partly cloudy",0.438333,0.485,0.324021,5729,4890,5151.09044595978,4979.44302702185
"714","2012","12","fri","1","clear or partly cloudy",0.281667,0.642917,0.131229,5611,4890,4912.4742740431,4515.13374791899
"715","2012","12","sat","0","clear or partly cloudy",0.324167,0.650417,0.10635,5047,4890,5254.10670090959,4569.70853099286
"717","2012","12","mon","1","mist or few clouds",0.393333,0.907083,0.0982583,4585,3664.92307692308,4503.59938863546,4191.99556955397
"721","2012","12","fri","1","mist or few clouds",0.326667,0.556667,0.374383,3623,4890,3947.40712369666,3653.16061471537
"723","2012","12","sun","0","clear or partly cloudy",0.245833,0.515417,0.133083,1787,2746.6,4640.38473548453,3201.83833437992
"724","2012","12","mon","1","mist or few clouds",0.231304,0.791304,0.0772304,920,2746.6,4075.43746630782,3125.537707604
"729","2012","12","sat","0","mist or few clouds",0.253333,0.752917,0.124383,1341,2746.6,4297.35140629622,3227.84389302026
